field,en-content,es-content,hy-content,zh-tw-content,ko-content,ja-content,ru-content,vi-content
pageTitle,Service Updates,Actualizaciones de servicio,Ծառայության թարմացումներ,服務更新,서비스 업데이트,サービスの更新,Обновления сервиса,Cập nhật dịch vụ
pageSubtitle,"Coming June 7, 2026", Disponible el 7 de junio de 2026,Կգործի 2026 թ.-ի հունիսի 7-ից,2026年6月7日正式生效,2026년 6월 7일 시작,2026年6月7日開始,Действует с 7 июня 2026 года,Sắp áp dụng từ ngày 7 tháng 6 năm 2026
introP1,"Starting December  14, 2025, Metro is making changes to bus service to provide more frequent and reliable trips to get riders where they need to go, when they need to go.","A partir del 7 de junio de 2026, Metro actualizará el servicio de autobuses y trenes con cambios diseñados para mejorar la confiabilidad para los usuarios en toda la ciudad.","2026 թ. հունիսի 7-ից «Մետրոն» թարմացնում է ավտոբուսների և գնացքների ծառայությունը՝ կատարելով փոփոխություններ, որոնք նպատակ ունեն բարելավելու հուսալիությունը քաղաքի բոլոր ուղևորների համար։",2026年6月7日起，大眾運輸將更新公車與鐵路班次，提升全市乘車穩定性。,2026년 6월 7일부터 메트로는 도시 전역의 승객들께 더 나은 운행 안정성을 제공하기 위해 버스 및 철도 서비스를 조정합니다.,2026年6月7日より、Metroでは市内全域の利用者に向けた運行の信頼性向上を目的として、バスおよび鉄道サービスの見直しを実施します。,"Начиная с 7 июня 2026 года, «Metro» меняет расписание поездов и автобусов, чтобы повысить надежность маршрутов для пассажиров по всему городу.","Từ ngày 7 tháng 6 năm 2026, Metro sẽ cập nhật dịch vụ xe buýt và đường sắt với nhiều điều chỉnh nhằm nâng cao độ tin cậy cho hành khách trên toàn thành phố."
introP2,Download a PDF summary of the latest updates in:,Descargue un resumen en PDF de las últimas actualizaciones de servicios en los siguientes idiomas:,Ներբեռնեք ծառայության վերջին թարմացումների PDF ամփոփագիրը հետևյալ լեզուներով.,您可下載以下語言的最新服務更新PDF摘要：,다음 언어로 최신 서비스 업데이트의 PDF 요약본을 다운로드하세요.,最新のサービスアップデートの概要は、次の言語でPDFをダウンロードすることができます。,Загрузите PDF-сводку последних обновлений на таких языках:,Tải xuống bản tóm tắt ở định dạng PDF về các cập nhật dịch vụ mới nhất có sẵn bằng các ngôn ngữ sau:
download,Download,Descargar,Բեռնել,下載,다운로드,ダウンロード,Скачать,Tải xuống
lineListTitle,These lines have updates:,Las siguientes líneas de autobús cuentan con actualizaciones de servicio:,Այս ավտոբուսային գծերն ունեն սպասարկման թարմացումներ.,以下巴士路線有服務更新：,이 버스 노선에 다음과 같은 서비스 업데이트 사항이 있습니다.,サービスアップデートのあるバスライン：,На этих автобусных маршрутах обновлены расписания:,Những tuyến xe buýt sau đã được cập nhật dịch vụ:
update,Update:,Actualización:,Թարմացում․,更新：,업데이트:,アップデート：,Обновление:,Cập nhật:
reason,Reason:,Motivo:,Պատճառը․,原因：,사유:,理由：,Причина:,Lý do:
schedule,New schedule,Nuevo horario,Նոր ժամանակացույց․,新的時刻表,신규 일정,新スケジュール,Новое расписание,Lịch trình mới
map,See Map,Consultar mapa,Տե՛ս Քարտեզը,查看地圖,지도 보기,地図を見る,Посмотреть карту,Xem Bản Đồ
privacy,Privacy Policy,Política de privacidad,Գաղտնիության քաղաքականություն,隱私權政策,개인정보 처리방침,プライバシーポリシー,Политика конфиденциальности,Chính Sách Quyền Riêng Tư
terms,Terms of Use,Términos de uso,Օգտվելու կանոններ,使用條款,이용약관,利用規約,Условия использования,Điều Khoản Sử Dụng
contact,Contact Us,Contáctenos,Կապ մեզ հետ,聯絡我們,문의,お問い合わせ,Связаться с нами,Liên Hệ Với Chúng Tôi
showTranslateButton,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
translate,Translate,Traducir,Թարգմանել,翻譯,번역,翻訳,Перевести,Dịch
top,Back to top,Volver al principio de esta página,Back to top,Back to top,Back to top,Back to top,Back to top,Back to top
selectLanguage,Select Language,Seleccione el idioma,Ընտրել լեզուն,選擇語言,당신의 언어를 고르시 오,言語を選択する,Выберите язык,Chọn ngôn ngữ
takeone_label_en,English,English,English,English,English,English,English,English
takeone_label_es,Español (Spanish),Español (Spanish),Español (Spanish),Español (Spanish),Español (Spanish),Español (Spanish),Español (Spanish),Español (Spanish)
takeone_label_hy,հայերեն (Armenian),հայերեն (Armenian),հայերեն (Armenian),հայերեն (Armenian),հայերեն (Armenian),հայերեն (Armenian),հայերեն (Armenian),հայերեն (Armenian)
takeone_label_zh-tw,中文 (Chinese Traditional),中文 (Chinese Traditional),中文 (Chinese Traditional),中文 (Chinese Traditional),中文 (Chinese Traditional),中文 (Chinese Traditional),中文 (Chinese Traditional),中文 (Chinese Traditional)
takeone_label_ko,한국어 (Korean),한국어 (Korean),한국어 (Korean),한국어 (Korean),한국어 (Korean),한국어 (Korean),한국어 (Korean),한국어 (Korean)
