line,schedule,map,en-update,en-reason,es-update,es-reason,hy-update,hy-reason,zh-tw-update,zh-tw-reason,ko-update,ko-reason,ja-update,ja-reason,ru-update,ru-reason,vi-update,vi-reason
2,002_TT_06-7-26.pdf,,"Travel time adjustments will be made to Weekday and Saturday schedules. Service reductions will include a limited number of trips where capacity significantly exceeds normal ridership levels, including the removal of one eastbound trip during the 5am weekday period.",For improved reliability better reflecting actual travel times. For improved reliability better reflecting actual travel times. Reduction of trips to provide extra capacity and avoid consistent crowding.,"Se realizarán ajustes en los horarios del servicio operativo entre semana y los sábados. Las reducciones de servicio incluirán una cantidad limitada de servicios en los que la capacidad excede considerablemente los niveles habituales de usuarios, incluida la eliminación de un servicio en dirección este durante el periodo de las 5 a.m. entre semana.",Para mejorar la confiabilidad del servicio y reflejar mejor los tiempos reales de trayecto. Reducción de servicios para ofrecer capacidad adicional y evitar saturación constante.,"Աշխատանքային օրերի և շաբաթ օրվա չվացուցակներում կկատարվեն ուղևորությունների տևողության փոփոխություններ։ Ծառայությունների կրճատումը կներառի սահմանափակ թվով ուղերթեր, որտեղ թողունակությունը զգալիորեն գերազանցում է ուղևորահոսքի սովորական մակարդակը։ Կչեղարկվի նաև աշխատանքային օրերին առավոտյան ժամը 5-ի՝ դեպի արևելք ուղղությամբ մեկ ուղերթ:",Հուսալիությունը բարելավելու և ուղևորության իրական տևողությունն ավելի լավ արտացոլելու համար։ Հուսալիությունը բարելավելու և ուղևորության իրական տևողությունն ավելի լավ արտացոլելու համար։ Ուղերթերի կրճատում՝ հավելյալ թողունակություն ապահովելու և մարդկանց մշտական կուտակումներից խուսափելու համար։,工作日及週六班次行車時間將予以調整。本次縮減班次，僅針對載客量遠超正常客流的少數車次，其中工作日清晨五點時段將刪除一班東行車次。,"為提升營運穩定性，更真實反映實際行車時間。
削減班次以優化承載，緩解常態擁擠。",평일 및 토요일에 운행 시간 조정이 적용됩니다. 평일 오전 5시대 동행 1회 등 실제 승객 수요 대비 공급이 현저히 많은  일부 운행은 감편됩니다.,실제 운행 시간 반영으로 안정성을 더욱 향상하기 위함입니다. 실제 운행 시간 반영으로 안정성을 더욱 향상하기 위함입니다. 감편은 수송 능력 확대와 지속적인 혼잡 완화를 위해 시행됩니다.,平日および土曜日のダイヤでは、所要時間の調整が行われます。また、通常の利用者数に対して運行本数が大幅に多い一部の便については減便を実施し、その中には平日午前5時台の東行き1便の廃止も含まれます。,"実際の所要時間をより正確に反映し、運行の信頼性を向上させるため。
追加の輸送余力を確保し、慢性的な混雑を回避するため、一部便を減便。","Скорректировано время отправления в будние дни и субботу. Сокращение обслуживания предусматривает уменьшение количества рейсов с низкой загрузкой, в том числе отмену одного рейса в восточном направлении в 05:00 по будням.",Для повышения надежности обслуживания и соответствия фактическому времени поездок. Для повышения надежности обслуживания и соответствия фактическому времени поездок. Сокращение числа рейсов направлено на увеличение вместимости и предотвращение постоянной переполненности.,"Thời gian di chuyển sẽ được điều chỉnh đối với lịch trình ngày thường và thứ Bảy. Một số chuyến sẽ bị cắt giảm tại các khung giờ có lượng hành khách vượt quá mức thông thường, bao gồm việc hủy một chuyến đi hướng đông trong khung giờ 5 giờ sáng các ngày trong tuần.",Nhằm cải thiện độ tin cậy và phản ánh chính xác hơn thời gian di chuyển thực tế. Việc giảm số chuyến cũng giúp tăng khả năng phục vụ và hạn chế tình trạng quá tải kéo dài.
10,010_TT_06-7-26.pdf,,Travel time adjustments will be made to Weekday and Saturday schedules.,For improved reliability better reflecting actual travel times.,Se realizarán ajustes en los horarios del servicio operativo entre semana y los sábados.,Para mejorar la confiabilidad del servicio y reflejar mejor los tiempos reales de trayecto.,Աշխատանքային օրերի և շաբաթ օրվա չվացուցակներում կկատարվեն ուղևորությունների տևողության փոփոխություններ։,Հուսալիությունը բարելավելու և ուղևորության իրական տևողությունն ավելի լավ արտացոլելու համար։,工作日和周六的行車時間將予以調整。,為提升營運穩定性，更真實反映實際行車時間。,평일 및 토요일에 운행 시간 조정이 적용됩니다.,실제 운행 시간 반영으로 안정성을 더욱 향상하기 위함입니다.,平日および土曜日のダイヤでは、所要時間の調整を行います。,実際の所要時間をより正確に反映し、運行の信頼性を向上させるため。,Скорректировано время отправления в будние дни и субботу.,Для повышения надежности обслуживания и соответствия фактическому времени поездок.,Thời gian di chuyển sẽ được điều chỉnh đối với lịch trình ngày thường và thứ Bảy.,Nhằm cải thiện độ tin cậy và phản ánh chính xác hơn thời gian di chuyển thực tế.
28,028_TT_06-7-26.pdf,,"Travel time adjustments will be made to Weekday and Saturday schedules. Service reductions will include a limited number of trips where capacity significantly exceeds normal ridership levels, including the removal of one eastbound trip during the 9am weekday period and one westbound trip during the 6pm weekday period.",For improved reliability better reflecting actual travel times. For improved reliability better reflecting actual travel times. Reduction of trips to provide extra capacity and avoid consistent crowding.,"Se realizarán ajustes en los horarios del servicio operativo entre semana y los sábados. Las reducciones de servicio incluirán una cantidad limitada de servicios en los que la capacidad excede considerablemente los niveles habituales de usuarios, incluida la eliminación de un servicio en dirección este durante el periodo de las 9 a.m. entre semana y de un servicio en dirección oeste durante el periodo de las 6 p.m. entre semana.",Para mejorar la confiabilidad del servicio y reflejar mejor los tiempos reales de trayecto. Reducción de servicios para ofrecer capacidad adicional y evitar saturación constante.,"Աշխատանքային օրերի և շաբաթ օրվա չվացուցակներում կկատարվեն ուղևորությունների տևողության փոփոխություններ։ Ծառայությունների կրճատումը կներառի սահմանափակ թվով ուղերթեր, որտեղ տարողունակությունը զգալիորեն գերազանցում է ուղևորահոսքի սովորական մակարդակը։ Կչեղարկվի նաև աշխատանքային օրերին առավոտյան ժամը 9-ի՝ դեպի արևելք ուղղությամբ մեկ ուղերթ, և երեկոյան ժամը 6-ի՝ դեպի արևմուտք ուղղությամբ մեկ ուղերթ։",Հուսալիությունը բարելավելու և ուղևորության իրական տևողությունն ավելի լավ արտացոլելու համար։ Հուսալիությունը բարելավելու և ուղևորության իրական տևողությունն ավելի լավ արտացոլելու համար։ Ուղերթերի կրճատում՝ լրացուցիչ թողունակություն ապահովելու և մարդկանց մշտական կուտակումներից խուսափելու համար։,工作日及週六的行車時間將予以調整，本次調整后部分行車時間將會縮減，少數車次將因運能遠超正常客流量而減少，例如，工作日上午9點取消一班東行班次，工作日下午6點取消一班西行班次。,"為提升營運穩定性，更真實反映實際行車時間。為提升營運穩定性，更真實反映實際行車時間。
削減班次以優化承載，緩解常態擁擠。",평일 및 토요일에 운행 시간 조정이 적용됩니다. 평일 오전 9시대 동행 1회와 오후 6시대 서행 1회 등 실제 승객 수요 대비 공급이 현저히 많은 일부 운행은 감편됩니다.,실제 운행 시간 반영으로 안정성을 더욱 향상하기 위함입니다. 실제 운행 시간 반영으로 안정성을 더욱 향상하기 위함입니다. 감편은 수송 능력 확대와 지속적인 혼잡 완화를 위해 시행됩니다.,平日および土曜日のダイヤでは、所要時間の調整を行います。また、通常の利用者数に対して運行本数が大幅に多い一部の便については減便を実施し、その中には平日午前9時台の東行き1便および平日午後6時台の西行き1便の廃止も含まれます。,"実際の所要時間をより正確に反映し、運行の信頼性を向上させるため。
輸送余力を確保し、慢性的な混雑を回避するため、一部便を減便。","Скорректировано время отправления в будние дни и субботу. Сокращение обслуживания предусматривает уменьшение количества рейсов с низкой загрузкой, в том числе отмену одного рейса в восточном направлении в 09:00 по будням и одного рейса в западном направлении в 18:00 по будням.",Для повышения надежности обслуживания и соответствия фактическому времени поездок. Для повышения надежности обслуживания и соответствия фактическому времени поездок. Сокращение числа рейсов направлено на увеличение вместимости и предотвращение постоянной переполненности.,"Thời gian di chuyển sẽ được điều chỉnh đối với lịch trình ngày thường và thứ Bảy. Một số chuyến sẽ bị cắt giảm tại các khung giờ có lượng hành khách vượt quá mức thông thường, bao gồm việc hủy một chuyến đi hướng đông trong khung giờ 9 giờ sáng các ngày trong tuần và một chuyến đi hướng tây trong khung giờ 6 giờ chiều các ngày trong tuần.",Nhằm cải thiện độ tin cậy và phản ánh chính xác hơn thời gian di chuyển thực tế. Việc giảm số chuyến cũng giúp tăng khả năng phục vụ và hạn chế tình trạng quá tải kéo dài.
30,030_TT_06-7-26.pdf,,Travel time adjustments will be made to Saturday schedule only.,For improved reliability better reflecting actual travel times.,Se realizarán ajustes en los horarios del servicio operativo los sábados únicamente.,Para mejorar la confiabilidad del servicio y reflejar mejor los tiempos reales de trayecto.,Ուղևորությունների տևողության փոփոխություններ կկատարվեն միայն շաբաթ օրվա չվացուցակում։,Հուսալիությունը բարելավելու և ուղևորության իրական տևողությունն ավելի լավ արտացոլելու համար։,僅調整週六班次行車時間。,為提升營運穩定性，更真實反映實際行車時間。,토요일에만 운행 시간 조정이 적용됩니다.,실제 운행 시간 반영으로 안정성을 더욱 향상하기 위함입니다.,土曜日ダイヤのみ、所要時間の調整を行います。,実際の所要時間をより正確に反映し、運行の信頼性を向上させるため。,Скорректировано время отправления по субботам.,Для повышения надежности обслуживания и соответствия фактическому времени поездок.,Thời gian di chuyển sẽ được điều chỉnh đối với lịch trình thứ Bảy.,Nhằm cải thiện độ tin cậy và phản ánh chính xác hơn thời gian di chuyển thực tế.
33,033_TT_06-7-26.pdf,,Travel time adjustments will be made to Weekday and Saturday schedules.,For improved reliability better reflecting actual travel times.,Se realizarán ajustes en los horarios del servicio operativo entre semana y los sábados.,Para mejorar la confiabilidad del servicio y reflejar mejor los tiempos reales de trayecto.,Ուղևորությունների տևողության փոփոխություններ կկատարվեն աշխատանքային օրերի և շաբաթ օրվա չվացուցակներում։,Հուսալիությունը բարելավելու և ուղևորության իրական տևողությունն ավելի լավ արտացոլելու համար։,工作日及週六時刻表將調整行車時間。,為提升營運穩定性，更真實反映實際行車時間。,평일 및 토요일에 운행 시간 조정이 적용됩니다.,실제 운행 시간 반영으로 안정성을 더욱 향상하기 위함입니다.,平日および土曜日のダイヤでは、所要時間の調整を行います。,実際の所要時間をより正確に反映し、運行の信頼性を向上させるため。,Скорректировано время отправления в будние дни и субботу.,Для повышения надежности обслуживания и соответствия фактическому времени поездок.,Thời gian di chuyển sẽ được điều chỉnh đối với lịch trình ngày thường và thứ Bảy.,Nhằm cải thiện độ tin cậy và phản ánh chính xác hơn thời gian di chuyển thực tế.
35,035_TT_06-7-26.pdf,,Travel time adjustments will be made to Weekday schedule only.,For improved reliability better reflecting actual travel times.,Se realizarán ajustes en los horarios del servicio operativo entre semana únicamente.,Para mejorar la confiabilidad del servicio y reflejar mejor los tiempos reales de trayecto.,Ուղևորությունների տևողության փոփոխություններ կկատարվեն միայն աշխատանքային օրերի չվացուցակում։,Հուսալիությունը բարելավելու և ուղևորության իրական տևողությունն ավելի լավ արտացոլելու համար։,僅調整工作日班次行車時間。,為提升營運穩定性，更真實反映實際行車時間。,평일에만 운행 시간 조정이 적용됩니다.,실제 운행 시간 반영으로 안정성을 더욱 향상하기 위함입니다.,平日ダイヤのみ、所要時間の調整を行います。,実際の所要時間をより正確に反映し、運行の信頼性を向上させるため。,Скорректировано время отправления в будние дни.,Для повышения надежности обслуживания и соответствия фактическому времени поездок.,Thời gian di chuyển sẽ được điều chỉnh đối với lịch trình ngày thường.,Nhằm cải thiện độ tin cậy và phản ánh chính xác hơn thời gian di chuyển thực tế.
38,038_TT_06-7-26.pdf,,Travel time adjustments will be made to Weekday schedule only.,For improved reliability better reflecting actual travel times.,Se realizarán ajustes en los horarios del servicio operativo entre semana únicamente.,Para mejorar la confiabilidad del servicio y reflejar mejor los tiempos reales de trayecto.,Ուղևորությունների տևողության փոփոխություններ կկատարվեն միայն աշխատանքային օրերի չվացուցակում։,Հուսալիությունը բարելավելու և ուղևորության իրական տևողությունն ավելի լավ արտացոլելու համար։,僅調整工作日班次行車時間。,為提升營運穩定性，更真實反映實際行車時間。,평일에만 운행 시간 조정이 적용됩니다.,실제 운행 시간 반영으로 안정성을 더욱 향상하기 위함입니다.,平日ダイヤのみ、所要時間の調整を行います。,実際の所要時間をより正確に反映し、運行の信頼性を向上させるため。,Скорректировано время отправления в будние дни.,Для повышения надежности обслуживания и соответствия фактическому времени поездок.,Thời gian di chuyển sẽ được điều chỉnh đối với lịch trình ngày thường.,Nhằm cải thiện độ tin cậy và phản ánh chính xác hơn thời gian di chuyển thực tế.
45,045_TT_06-7-26.pdf,,Travel time adjustments will be made to Saturday schedule only.,For improved reliability better reflecting actual travel times.,Se realizarán ajustes en los horarios del servicio operativo los sábados únicamente.,Para mejorar la confiabilidad del servicio y reflejar mejor los tiempos reales de trayecto.,Ուղևորությունների տևողության փոփոխություններ կկատարվեն միայն շաբաթ օրվա չվացուցակում։,Հուսալիությունը բարելավելու և ուղևորության իրական տևողությունն ավելի լավ արտացոլելու համար։,僅調整週六班次行車時間。,為提升營運穩定性，更真實反映實際行車時間。,토요일에만 운행 시간 조정이 적용됩니다.,실제 운행 시간 반영으로 안정성을 더욱 향상하기 위함입니다.,土曜日ダイヤのみ、所要時間の調整を行います。,実際の所要時間をより正確に反映し、運行の信頼性を向上させるため。,Скорректировано время отправления по субботам.,Для повышения надежности обслуживания и соответствия фактическому времени поездок.,Thời gian di chuyển sẽ được điều chỉnh đối với lịch trình thứ Bảy.,Nhằm cải thiện độ tin cậy và phản ánh chính xác hơn thời gian di chuyển thực tế.
48,048_TT_06-7-26.pdf,,"Travel time adjustments will be made to Weekday and Saturday schedules. Three trips added: two southbound trips between 6:30 and 7:30am, and one northbound trip departing from San Pedro / Manchester at 8:45am.",For improved reliability better reflecting actual travel times. Added trips to provide additional capacity and avoid consistent crowding.,"Se realizarán ajustes en los horarios del servicio operativo entre semana y los sábados. Se agregarán tres servicios: dos servicios en dirección sur entre las 6:30 a.m. y las 7:30 a.m., y un servicio en dirección norte con salida desde San Pedro / Manchester a las 8:45 a.m.",Para mejorar la confiabilidad del servicio y reflejar mejor los tiempos reales de trayecto. Se agregarán servicios para ofrecer capacidad adicional y evitar saturación constante.,"Ուղևորությունների տևողության փոփոխություններ կկատարվեն աշխատանքային օրերի և շաբաթ օրվա չվացուցակներում։ Ավելացվել է երեք ուղերթ՝ երկու ուղերթ դեպի հարավ՝ 6:30-ից 7:30-ն ընկած ժամանակահատվածում, և մեկ ուղերթ դեպի հյուսիս, որը մեկնում է Սան Պեդրո / Մանչեսթերից 8:45-ին։",Հուսալիությունը բարելավելու և ուղևորության իրական տևողությունն ավելի լավ արտացոլելու համար։ Ավելացվել են ուղերթեր՝ լրացուցիչ թողունակություն ապահովելու և մարդկանց մշտական կուտակումներից խուսափելու համար։,"工作日及週六時刻表行車時間將予以調整。
新增 3 個班次：其中兩班為南行班次，運行時間為早上 6:30 至 7:30；另一班次為北行班次，於早上 8:45 從聖佩德羅/曼徹斯特站出發。",為提升營運穩定性，更真實反映實際行車時間。增設班次，提升載客量，緩解常態擁擠。,"평일 및 토요일에 운행 시간 조정이 적용됩니다. 오전 6시 30분부터 7시 30분 사이 남행 2회, 오전 8시 45분 San Pedro / Manchester 출발 북행 1회, 총 3회 증편됩니다.",실제 운행 시간 반영으로 안정성을 더욱 향상하기 위함입니다. 증편은 수송 능력 확대와 지속적인 혼잡 완화를 위해 시행됩니다.,平日および土曜日のダイヤでは、所要時間の調整を行います。また、午前6時30分から7時30分の間に南行き2便、ならびにSan Pedro / Manchester発午前8時45分の北行き1便を追加します。,"実際の所要時間をより正確に反映し、運行の信頼性を向上させるため。
輸送力を強化し、慢性的な混雑を回避するため、便を追加。",Скорректировано время отправления в будние дни и субботу. Добавлено три рейса: два рейса в южном направлении между 06:30 и 07:30 и один рейс в северном направлении с отправлением от San Pedro / Manchester в 08:45.,Для повышения надежности обслуживания и соответствия фактическому времени поездок. Добавление дополнительных рейсов направлено на увеличение вместимости и предотвращение постоянной переполненности.,Thời gian di chuyển sẽ được điều chỉnh đối với lịch trình ngày thường và thứ Bảy. Bổ sung thêm 3 chuyến: 2 chuyến hướng nam trong khung giờ từ 6:30 đến 7:30 sáng và 1 chuyến hướng bắc khởi hành từ San Pedro / Manchester lúc 8:45 sáng.,Nhằm cải thiện độ tin cậy và phản ánh chính xác hơn thời gian di chuyển thực tế. Việc bổ sung chuyến sẽ giúp tăng năng lực phục vụ và hạn chế tình trạng quá tải kéo dài.
51,051_TT_06-7-26.pdf,,"Travel time adjustments will be made to Weekday, Saturday, and Sunday schedules. Weekday service reductions will occur due to frequency changes during the AM and PM peak periods in both directions, with frequency adjusted to 5.5–7.5-minute headways.",For improved reliability better reflecting actual travel times. For improved reliability better reflecting actual travel times. Reduction of trips to provide extra capacity and avoid consistent crowding.,"Se realizarán ajustes en los horarios del servicio operativo entre semana, los sábados y los domingos. Las reducciones de servicio entre semana se realizarán debido a cambios en la frecuencia durante las horas pico de la mañana y la tarde en ambas direcciones, con una frecuencia ajustada a intervalos de paso de entre 5.5 y 7.5 minutos.",Para mejorar la confiabilidad del servicio y reflejar mejor los tiempos reales de trayecto. Reducción de servicios para ofrecer capacidad adicional y evitar saturación constante.,"Ուղևորությունների տևողության փոփոխություններ կկատարվեն աշխատանքային, շաբաթ և կիրակի օրերի չվացուցակներում։ Աշխատանքային օրերին կիրականացվի ծառայությունների կրճատում՝ առավոտյան և երեկոյան պիկ ժամերին երկու ուղղություններով հաճախականության փոփոխությունների պատճառով, ընդ որում՝ հաճախականությունը կփոխվի, և ուղերթերի միջև կսահմանվի 5.5-ից 7.5 րոպե միջակայք։",Հուսալիությունը բարելավելու և ուղևորության իրական տևողությունն ավելի լավ արտացոլելու համար։ Հուսալիությունը բարելավելու և ուղևորության իրական տևողությունն ավելի լավ արտացոլելու համար։ Ուղերթերի կրճատում՝ լրացուցիչ թողունակություն ապահովելու և մարդկանց մշտական կուտակումներից խուսափելու համար։,工作日、週六及週日的行車時間將予以調整。由於早晚尖峰時段雙向班距調整為 5.5 至 7.5 分鐘，工作日班次將隨頻率變動有所縮減。,為提升營運穩定性，更真實反映實際行車時間。為提升營運穩定性，更真實反映實際行車時間。削減班次以優化承載，緩解常態擁擠。,"평일, 토요일 및 일요일에 운행 시간 조정이 적용됩니다. 평일 양방향 오전 및 오후 혼잡 시간대에는 배차 간격이 5.5~7.5분으로 조정됨에 따라 일부 운행이 감편됩니다.",실제 운행 시간 반영으로 안정성을 더욱 향상하기 위함입니다. 감편은 수송 능력 확대와 지속적인 혼잡 완화를 위해 시행됩니다.,平日・土曜日・日曜日のダイヤでは、所要時間の調整を行います。平日については、上下線ともに朝夕のラッシュ時間帯に運行間隔を5.5〜7.5分へ変更することに伴い、一部減便を実施します。,"実際の所要時間をより正確に反映し、運行の信頼性を向上させるため。
輸送余力を確保し、慢性的な混雑を回避するため、一部便を減便。","Скорректировано время отправления в будние дни, а также в субботу и воскресенье. В будние дни будет сокращено количество рейсов в связи с изменением частоты движения в утренние и вечерние часы пик в обоих направлениях. Интервалы движения составят 5,5–7,5 минуты.",Для повышения надежности обслуживания и соответствия фактическому времени поездок. Для повышения надежности обслуживания и соответствия фактическому времени поездок. Сокращение числа рейсов направлено на увеличение вместимости и предотвращение постоянной переполненности.,"Thời gian di chuyển sẽ được điều chỉnh đối với lịch trình ngày thường, thứ Bảy và Chủ nhật. Dịch vụ ngày thường sẽ giảm số chuyến do thay đổi tần suất trong các khung giờ cao điểm sáng và chiều ở cả hai hướng, với tần suất chuyến được điều chỉnh còn mỗi 5,5–7,5 phút.",Nhằm cải thiện độ tin cậy và phản ánh chính xác hơn thời gian di chuyển thực tế. Việc giảm số chuyến cũng giúp tăng khả năng phục vụ và hạn chế tình trạng quá tải kéo dài.
